country,report_year,occurrence,human_cases,human_deaths
Belize,2009,no_information_available,no information,no information
Belize,2011,no_information_available,no information,no information
Bolivia,2005,no_information_available,no information,no information
Bolivia,2006,no_information_available,no information,no information
Bolivia,2009,no_information_available,no information,no information
Bolivia,2010,no_information_available,no information,no information
Bolivia,2011,no_information_available,no information,no information
Bolivia,2012,no_information_available,no information,no information
Bolivia,2014,no_information_available,no information,no information
Bolivia,2015,no_information_available,no information,no information
Bolivia,2016,no_information_available,no information,no information
Bolivia,2017,no_information_available,no information,no information
Barbados,2005,no_information_available,no information,no information
Barbados,2007,no_information_available,no information,no information
Barbados,2012,no_information_available,no information,no information
Brunei Darussalam,2006,no_information_available,no information,no information
Brunei Darussalam,2007,no_information_available,no information,no information
Brunei Darussalam,2008,no_information_available,no information,no information
Brunei Darussalam,2009,no_information_available,no information,no information
Brunei Darussalam,2012,no_information_available,no information,no information
Bhutan,2005,no_information_available,no information,no information
Bhutan,2006,no_information_available,no information,no information
Bhutan,2007,no_information_available,no information,no information
Bhutan,2008,no_information_available,no information,no information
Bhutan,2009,no_information_available,no information,no information
Bhutan,2010,no_information_available,no information,no information
Botswana,2005,no_information_available,no information,no information
Botswana,2012,no_information_available,no information,no information
Botswana,2013,no_information_available,no information,no information
Botswana,2014,no_information_available,no information,no information
Botswana,2015,no_information_available,no information,no information
Botswana,2016,no_information_available,no information,no information
Botswana,2017,no_information_available,no information,no information
Botswana,2018,no_information_available,no information,no information
Central African Republic,2011,no_information_available,no information,no information
Central African Republic,2017,no_information_available,no information,no information
Canada,2007,no_information_available,no information,no information
Canada,2008,no_information_available,no information,no information
Canada,2009,no_information_available,no information,no information
Canada,2010,no_information_available,no information,no information
Canada,2012,no_information_available,no information,no information
Canada,2018,no_information_available,no information,no information
Switzerland,2005,no_information_available,no information,no information
Switzerland,2006,no_information_available,no information,no information
Switzerland,2007,no_information_available,no information,no information
Switzerland,2008,no_information_available,no information,no information
Switzerland,2009,no_information_available,no information,no information
Chile,2005,no_information_available,no information,no information
China (People's Rep. of),2006,no_information_available,no information,no information
China (People's Rep. of),2007,no_information_available,no information,no information
China (People's Rep. of),2008,no_information_available,no information,no information
China (People's Rep. of),2010,no_information_available,no information,no information
China (People's Rep. of),2011,no_information_available,no information,no information
China (People's Rep. of),2012,no_information_available,no information,no information
China (People's Rep. of),2013,no_information_available,no information,no information
China (People's Rep. of),2014,no_information_available,no information,no information
Cote D'Ivoire,2005,no_information_available,no information,no information
Cote D'Ivoire,2006,no_information_available,no information,no information
Cote D'Ivoire,2007,no_information_available,no information,no information
Cote D'Ivoire,2008,no_information_available,no information,no information
Cote D'Ivoire,2009,no_information_available,no information,no information
Cote D'Ivoire,2010,no_information_available,no information,no information
Cote D'Ivoire,2011,no_information_available,no information,no information
Cote D'Ivoire,2012,no_information_available,no information,no information
Cote D'Ivoire,2013,no_information_available,no information,no information
Cote D'Ivoire,2014,no_information_available,no information,no information
Cote D'Ivoire,2015,no_information_available,no information,no information
Cote D'Ivoire,2016,no_information_available,no information,no information
Cote D'Ivoire,2017,no_information_available,no information,no information
Cote D'Ivoire,2018,no_information_available,no information,no information
Cameroon,2005,no_information_available,no information,no information
Cameroon,2010,no_information_available,no information,no information
Cameroon,2011,no_information_available,no information,no information
Cameroon,2012,no_information_available,no information,no information
Cameroon,2013,no_information_available,no information,no information
Cameroon,2014,no_information_available,no information,no information
Cameroon,2015,no_information_available,no information,no information
Cameroon,2016,no_information_available,no information,no information
Congo (Dem. Rep. of the),2005,no_information_available,no information,no information
Congo (Dem. Rep. of the),2006,no_information_available,no information,no information
Congo (Dem. Rep. of the),2007,no_information_available,no information,no information
Congo (Dem. Rep. of the),2008,no_information_available,no information,no information
Congo (Dem. Rep. of the),2009,no_information_available,no information,no information
Congo (Dem. Rep. of the),2010,no_information_available,no information,no information
Congo (Dem. Rep. of the),2011,no_information_available,no information,no information
Congo (Dem. Rep. of the),2012,no_information_available,no information,no information
Congo (Dem. Rep. of the),2013,no_information_available,no information,no information
Congo (Dem. Rep. of the),2014,no_information_available,no information,no information
Congo (Dem. Rep. of the),2015,no_information_available,no information,no information
Congo (Dem. Rep. of the),2016,no_information_available,no information,no information
Congo (Dem. Rep. of the),2017,no_information_available,no information,no information
Congo (Rep. of the),2005,no_information_available,no information,no information
Congo (Rep. of the),2006,no_information_available,no information,no information
Congo (Rep. of the),2007,no_information_available,no information,no information
Congo (Rep. of the),2008,no_information_available,no information,no information
Congo (Rep. of the),2009,no_information_available,no information,no information
Congo (Rep. of the),2010,no_information_available,no information,no information
Congo (Rep. of the),2011,no_information_available,no information,no information
Congo (Rep. of the),2012,no_information_available,no information,no information
Cook Islands,2018,no_information_available,no information,no information
Colombia,2010,no_information_available,no information,no information
Colombia,2013,no_information_available,no information,no information
Colombia,2014,no_information_available,no information,no information
Colombia,2015,no_information_available,no information,no information
Colombia,2016,no_information_available,no information,no information
Colombia,2017,no_information_available,no information,no information
Colombia,2018,no_information_available,no information,no information
Comoros,2008,no_information_available,no information,no information
Comoros,2009,no_information_available,no information,no information
Comoros,2015,no_information_available,no information,no information
Comoros,2016,no_information_available,no information,no information
Cabo Verde,2005,no_information_available,no information,no information
Cabo Verde,2006,no_information_available,no information,no information
Cabo Verde,2007,no_information_available,no information,no information
Cabo Verde,2008,no_information_available,no information,no information
Cabo Verde,2009,no_information_available,no information,no information
Cabo Verde,2010,no_information_available,no information,no information
Cabo Verde,2011,no_information_available,no information,no information
Cabo Verde,2012,no_information_available,no information,no information
Cabo Verde,2013,no_information_available,no information,no information
Cuba,2005,no_information_available,no information,no information
Cuba,2006,no_information_available,no information,no information
Cuba,2008,no_information_available,no information,no information
Cuba,2015,no_information_available,no information,no information
Cayman Islands,2005,no_information_available,no information,no information
Cayman Islands,2006,no_information_available,no information,no information
Cyprus,2005,no_information_available,no information,no information
Cyprus,2006,no_information_available,no information,no information
Germany,2008,no_information_available,no information,no information
Germany,2009,no_information_available,no information,no information
Germany,2010,no_information_available,no information,no information
Germany,2011,no_information_available,no information,no information
Germany,2012,no_information_available,no information,no information
Djibouti,2005,no_information_available,no information,no information
Djibouti,2006,no_information_available,no information,no information
Djibouti,2007,no_information_available,no information,no information
Djibouti,2008,no_information_available,no information,no information
Djibouti,2009,no_information_available,no information,no information
Djibouti,2010,no_information_available,no information,no information
Djibouti,2011,no_information_available,no information,no information
Djibouti,2012,no_information_available,no information,no information
Djibouti,2013,no_information_available,no information,no information
Djibouti,2014,no_information_available,no information,no information
Djibouti,2015,no_information_available,no information,no information
Djibouti,2016,no_information_available,no information,no information
Djibouti,2017,no_information_available,no information,no information
Djibouti,2018,no_information_available,no information,no information
Denmark,2013,no_information_available,no information,no information
Denmark,2014,no_information_available,no information,no information
Denmark,2016,no_information_available,no information,no information
Dominican Republic,2009,no_information_available,no information,no information
Dominican Republic,2010,no_information_available,no information,no information
Ecuador,2006,no_information_available,no information,no information
Ecuador,2007,no_information_available,no information,no information
Ecuador,2008,no_information_available,no information,no information
Ecuador,2009,no_information_available,no information,no information
Ecuador,2010,no_information_available,no information,no information
Ecuador,2011,no_information_available,no information,no information
Ecuador,2012,no_information_available,no information,no information
Ecuador,2013,no_information_available,no information,no information
Ecuador,2014,no_information_available,no information,no information
Ecuador,2015,no_information_available,no information,no information
Ecuador,2016,no_information_available,no information,no information
Ecuador,2017,no_information_available,no information,no information
Egypt,2005,no_information_available,no information,no information
Egypt,2006,no_information_available,no information,no information
Egypt,2007,no_information_available,no information,no information
Egypt,2009,no_information_available,no information,no information
Egypt,2010,no_information_available,no information,no information
Egypt,2011,no_information_available,no information,no information
Egypt,2014,no_information_available,no information,no information
Egypt,2015,no_information_available,no information,no information
Egypt,2016,no_information_available,no information,no information
Eritrea,2006,no_information_available,no information,no information
Eritrea,2007,no_information_available,no information,no information
Eritrea,2008,no_information_available,no information,no information
Eritrea,2010,no_information_available,no information,no information
Spain,2017,no_information_available,no information,no information
Estonia,2007,no_information_available,no information,no information
Estonia,2008,no_information_available,no information,no information
Estonia,2009,no_information_available,no information,no information
Ethiopia,2010,no_information_available,no information,no information
Ethiopia,2011,no_information_available,no information,no information
Ethiopia,2012,no_information_available,no information,no information
Ethiopia,2013,no_information_available,no information,no information
Ethiopia,2014,no_information_available,no information,no information
Ethiopia,2015,no_information_available,no information,no information
Ethiopia,2016,no_information_available,no information,no information
Ethiopia,2017,no_information_available,no information,no information
Finland,2006,no_information_available,no information,no information
Finland,2007,no_information_available,no information,no information
Finland,2008,no_information_available,no information,no information
Finland,2009,no_information_available,no information,no information
Finland,2010,no_information_available,no information,no information
Finland,2011,no_information_available,no information,no information
Finland,2012,no_information_available,no information,no information
Finland,2013,no_information_available,no information,no information
Finland,2014,no_information_available,no information,no information
Finland,2015,no_information_available,no information,no information
Finland,2016,no_information_available,no information,no information
Finland,2017,no_information_available,no information,no information
Finland,2018,no_information_available,no information,no information
Fiji,2008,no_information_available,no information,no information
Fiji,2009,no_information_available,no information,no information
Fiji,2010,no_information_available,no information,no information
Fiji,2011,no_information_available,no information,no information
Fiji,2015,no_information_available,no information,no information
Fiji,2016,no_information_available,no information,no information
Falkland Islands (Malvinas),2006,no_information_available,no information,no information
Falkland Islands (Malvinas),2010,no_information_available,no information,no information
Falkland Islands (Malvinas),2011,no_information_available,no information,no information
France,2012,no_information_available,no information,no information
Micronesia (Federated States),2008,no_information_available,no information,no information
Micronesia (Federated States),2009,no_information_available,no information,no information
Micronesia (Federated States),2011,no_information_available,no information,no information
Micronesia (Federated States),2017,no_information_available,no information,no information
Gabon,2006,no_information_available,no information,no information
Gabon,2007,no_information_available,no information,no information
Gabon,2008,no_information_available,no information,no information
Gabon,2009,no_information_available,no information,no information
Gabon,2010,no_information_available,no information,no information
Gabon,2011,no_information_available,no information,no information
United Kingdom,2006,no_information_available,no information,no information
United Kingdom,2010,no_information_available,no information,no information
Ghana,2005,no_information_available,no information,no information
Ghana,2006,no_information_available,no information,no information
Ghana,2007,no_information_available,no information,no information
Ghana,2008,no_information_available,no information,no information
Ghana,2009,no_information_available,no information,no information
Ghana,2010,no_information_available,no information,no information
Ghana,2012,no_information_available,no information,no information
Ghana,2013,no_information_available,no information,no information
Ghana,2014,no_information_available,no information,no information
Ghana,2015,no_information_available,no information,no information
Ghana,2016,no_information_available,no information,no information
Ghana,2017,no_information_available,no information,no information
Guinea,2005,no_information_available,no information,no information
Guinea,2006,no_information_available,no information,no information
Guinea,2007,no_information_available,no information,no information
Guinea,2008,no_information_available,no information,no information
Guinea,2009,no_information_available,no information,no information
Guinea,2010,no_information_available,no information,no information
Guinea,2011,no_information_available,no information,no information
Guinea,2012,no_information_available,no information,no information
Guinea,2013,no_information_available,no information,no information
Guinea,2014,no_information_available,no information,no information
Guinea,2015,no_information_available,no information,no information
Guinea,2017,no_information_available,no information,no information
Guinea,2018,no_information_available,no information,no information
Guadeloupe (France),2005,no_information_available,no information,no information
Guadeloupe (France),2006,no_information_available,no information,no information
Guadeloupe (France),2007,no_information_available,no information,no information
Guadeloupe (France),2011,no_information_available,no information,no information
Gambia,2009,no_information_available,no information,no information
Gambia,2016,no_information_available,no information,no information
Gambia,2017,no_information_available,no information,no information
Gambia,2018,no_information_available,no information,no information
Guinea-Bissau,2005,no_information_available,no information,no information
Guinea-Bissau,2006,no_information_available,no information,no information
Guinea-Bissau,2007,no_information_available,no information,no information
Guinea-Bissau,2008,no_information_available,no information,no information
Guinea-Bissau,2009,no_information_available,no information,no information
Guinea-Bissau,2010,no_information_available,no information,no information
Guinea-Bissau,2011,no_information_available,no information,no information
Guinea-Bissau,2012,no_information_available,no information,no information
Guinea-Bissau,2013,no_information_available,no information,no information
Guinea-Bissau,2014,no_information_available,no information,no information
Guinea-Bissau,2015,no_information_available,no information,no information
Guinea-Bissau,2016,no_information_available,no information,no information
Guinea-Bissau,2017,no_information_available,no information,no information
Guinea-Bissau,2018,no_information_available,no information,no information
Equatorial Guinea,2011,no_information_available,no information,no information
Equatorial Guinea,2012,no_information_available,no information,no information
Equatorial Guinea,2013,no_information_available,no information,no information
Greenland,2005,no_information_available,no information,no information
Greenland,2006,no_information_available,no information,no information
Greenland,2012,no_information_available,no information,no information
Greenland,2013,no_information_available,no information,no information
Greenland,2014,no_information_available,no information,no information
Greenland,2015,no_information_available,no information,no information
Greenland,2016,no_information_available,no information,no information
Greenland,2017,no_information_available,no information,no information
Guatemala,2006,no_information_available,no information,no information
Guatemala,2008,no_information_available,no information,no information
Guatemala,2010,no_information_available,no information,no information
French Guiana,2005,no_information_available,no information,no information
French Guiana,2006,no_information_available,no information,no information
French Guiana,2008,no_information_available,no information,no information
French Guiana,2009,no_information_available,no information,no information
Guyana,2005,no_information_available,no information,no information
Guyana,2006,no_information_available,no information,no information
Guyana,2007,no_information_available,no information,no information
Guyana,2008,no_information_available,no information,no information
Guyana,2009,no_information_available,no information,no information
Guyana,2010,no_information_available,no information,no information
Guyana,2011,no_information_available,no information,no information
Guyana,2012,no_information_available,no information,no information
Guyana,2013,no_information_available,no information,no information
Guyana,2014,no_information_available,no information,no information
Hong Kong (SAR - PRC),2005,no_information_available,no information,no information
Hong Kong (SAR - PRC),2006,no_information_available,no information,no information
Hong Kong (SAR - PRC),2007,no_information_available,no information,no information
Honduras,2005,no_information_available,no information,no information
Honduras,2007,no_information_available,no information,no information
Honduras,2008,no_information_available,no information,no information
Honduras,2009,no_information_available,no information,no information
Honduras,2010,no_information_available,no information,no information
Haiti,2005,no_information_available,no information,no information
Haiti,2006,no_information_available,no information,no information
Haiti,2007,no_information_available,no information,no information
Haiti,2008,no_information_available,no information,no information
Haiti,2009,no_information_available,no information,no information
Haiti,2010,no_information_available,no information,no information
Haiti,2011,no_information_available,no information,no information
Haiti,2012,no_information_available,no information,no information
Indonesia,2005,no_information_available,no information,no information
Indonesia,2006,no_information_available,no information,no information
Indonesia,2007,no_information_available,no information,no information
Indonesia,2008,no_information_available,no information,no information
Indonesia,2009,no_information_available,no information,no information
Indonesia,2010,no_information_available,no information,no information
Indonesia,2011,no_information_available,no information,no information
Indonesia,2012,no_information_available,no information,no information
Indonesia,2013,no_information_available,no information,no information
Indonesia,2014,no_information_available,no information,no information
Indonesia,2015,no_information_available,no information,no information
Indonesia,2016,no_information_available,no information,no information
Indonesia,2017,no_information_available,no information,no information
Indonesia,2018,no_information_available,no information,no information
India,2005,no_information_available,no information,no information
India,2006,no_information_available,no information,no information
India,2007,no_information_available,no information,no information
India,2008,no_information_available,no information,no information
India,2009,no_information_available,no information,no information
India,2010,no_information_available,no information,no information
Iran,2008,no_information_available,no information,no information
Iraq,2005,no_information_available,no information,no information
Iraq,2006,no_information_available,no information,no information
Iraq,2007,no_information_available,no information,no information
Iraq,2008,no_information_available,no information,no information
Iraq,2009,no_information_available,no information,no information
Iceland,2005,no_information_available,no information,no information
Iceland,2006,no_information_available,no information,no information
Israel,2016,no_information_available,no information,no information
Italy,2005,no_information_available,no information,no information
Italy,2006,no_information_available,no information,no information
Italy,2007,no_information_available,no information,no information
Italy,2008,no_information_available,no information,no information
Italy,2009,no_information_available,no information,no information
Italy,2010,no_information_available,no information,no information
Italy,2011,no_information_available,no information,no information
Italy,2012,no_information_available,no information,no information
Italy,2013,no_information_available,no information,no information
Italy,2014,no_information_available,no information,no information
Italy,2015,no_information_available,no information,no information
Italy,2016,no_information_available,no information,no information
Italy,2017,no_information_available,no information,no information
Italy,2018,no_information_available,no information,no information
Jamaica,2005,no_information_available,no information,no information
Jamaica,2006,no_information_available,no information,no information
Jamaica,2007,no_information_available,no information,no information
Jamaica,2008,no_information_available,no information,no information
Jamaica,2009,no_information_available,no information,no information
Jamaica,2010,no_information_available,no information,no information
Jamaica,2011,no_information_available,no information,no information
Jamaica,2012,no_information_available,no information,no information
Jamaica,2013,no_information_available,no information,no information
Jamaica,2016,no_information_available,no information,no information
Jordan,2005,no_information_available,no information,no information
Jordan,2010,no_information_available,no information,no information
Jordan,2011,no_information_available,no information,no information
Jordan,2012,no_information_available,no information,no information
Jordan,2013,no_information_available,no information,no information
Jordan,2014,no_information_available,no information,no information
Japan,2007,no_information_available,no information,no information
Japan,2008,no_information_available,no information,no information
Kazakhstan,2010,no_information_available,no information,no information
Kazakhstan,2011,no_information_available,no information,no information
Kazakhstan,2018,no_information_available,no information,no information
Kenya,2005,no_information_available,no information,no information
Kenya,2006,no_information_available,no information,no information
Kenya,2007,no_information_available,no information,no information
Kenya,2009,no_information_available,no information,no information
Kenya,2010,no_information_available,no information,no information
Kyrgyzstan,2007,no_information_available,no information,no information
Kyrgyzstan,2018,no_information_available,no information,no information
Cambodia,2007,no_information_available,no information,no information
Cambodia,2008,no_information_available,no information,no information
Cambodia,2009,no_information_available,no information,no information
Cambodia,2010,no_information_available,no information,no information
Cambodia,2011,no_information_available,no information,no information
Cambodia,2012,no_information_available,no information,no information
Cambodia,2013,no_information_available,no information,no information
Cambodia,2014,no_information_available,no information,no information
Cambodia,2015,no_information_available,no information,no information
Kiribati,2008,no_information_available,no information,no information
Kiribati,2012,no_information_available,no information,no information
Korea (Rep. of),2005,no_information_available,no information,no information
Korea (Rep. of),2006,no_information_available,no information,no information
Korea (Rep. of),2007,no_information_available,no information,no information
Korea (Rep. of),2008,no_information_available,no information,no information
Korea (Rep. of),2009,no_information_available,no information,no information
Korea (Rep. of),2010,no_information_available,no information,no information
Korea (Rep. of),2011,no_information_available,no information,no information
Korea (Rep. of),2012,no_information_available,no information,no information
Korea (Rep. of),2013,no_information_available,no information,no information
Korea (Rep. of),2014,no_information_available,no information,no information
Kuwait,2007,no_information_available,no information,no information
Kuwait,2009,no_information_available,no information,no information
Kuwait,2010,no_information_available,no information,no information
Kuwait,2011,no_information_available,no information,no information
Kuwait,2012,no_information_available,no information,no information
Kuwait,2013,no_information_available,no information,no information
Kuwait,2014,no_information_available,no information,no information
Kuwait,2015,no_information_available,no information,no information
Kuwait,2016,no_information_available,no information,no information
Kuwait,2017,no_information_available,no information,no information
Laos,2005,no_information_available,no information,no information
Laos,2006,no_information_available,no information,no information
Laos,2007,no_information_available,no information,no information
Laos,2009,no_information_available,no information,no information
Laos,2010,no_information_available,no information,no information
Laos,2011,no_information_available,no information,no information
Laos,2012,no_information_available,no information,no information
Laos,2013,no_information_available,no information,no information
Laos,2014,no_information_available,no information,no information
Lebanon,2005,no_information_available,no information,no information
Lebanon,2006,no_information_available,no information,no information
Lebanon,2009,no_information_available,no information,no information
Lebanon,2010,no_information_available,no information,no information
Lebanon,2011,no_information_available,no information,no information
Lebanon,2012,no_information_available,no information,no information
Lebanon,2013,no_information_available,no information,no information
Lebanon,2015,no_information_available,no information,no information
Libya,2005,no_information_available,no information,no information
Libya,2006,no_information_available,no information,no information
Libya,2007,no_information_available,no information,no information
Libya,2008,no_information_available,no information,no information
Libya,2013,no_information_available,no information,no information
Libya,2014,no_information_available,no information,no information
Liechtenstein,2010,no_information_available,no information,no information
Liechtenstein,2011,no_information_available,no information,no information
Liechtenstein,2012,no_information_available,no information,no information
Liechtenstein,2013,no_information_available,no information,no information
Liechtenstein,2018,no_information_available,no information,no information
Sri Lanka,2005,no_information_available,no information,no information
Sri Lanka,2006,no_information_available,no information,no information
Sri Lanka,2007,no_information_available,no information,no information
Sri Lanka,2009,no_information_available,no information,no information
Sri Lanka,2010,no_information_available,no information,no information
Lesotho,2005,no_information_available,no information,no information
Lesotho,2006,no_information_available,no information,no information
Lesotho,2007,no_information_available,no information,no information
Lesotho,2008,no_information_available,no information,no information
Lesotho,2009,no_information_available,no information,no information
Lesotho,2011,no_information_available,no information,no information
Lesotho,2012,no_information_available,no information,no information
Lesotho,2013,no_information_available,no information,no information
Lesotho,2014,no_information_available,no information,no information
Lesotho,2015,no_information_available,no information,no information
Lesotho,2016,no_information_available,no information,no information
Luxembourg,2007,no_information_available,no information,no information
Luxembourg,2008,no_information_available,no information,no information
Luxembourg,2010,no_information_available,no information,no information
Luxembourg,2011,no_information_available,no information,no information
Luxembourg,2012,no_information_available,no information,no information
Luxembourg,2013,no_information_available,no information,no information
Morocco,2005,no_information_available,no information,no information
Morocco,2006,no_information_available,no information,no information
Morocco,2007,no_information_available,no information,no information
Morocco,2008,no_information_available,no information,no information
Morocco,2009,no_information_available,no information,no information
Morocco,2010,no_information_available,no information,no information
Morocco,2011,no_information_available,no information,no information
Morocco,2012,no_information_available,no information,no information
Morocco,2013,no_information_available,no information,no information
Morocco,2014,no_information_available,no information,no information
Morocco,2016,no_information_available,no information,no information
Morocco,2017,no_information_available,no information,no information
Morocco,2018,no_information_available,no information,no information
Moldova,2005,no_information_available,no information,no information
Moldova,2007,no_information_available,no information,no information
Moldova,2008,no_information_available,no information,no information
Madagascar,2009,no_information_available,no information,no information
Madagascar,2010,no_information_available,no information,no information
Madagascar,2012,no_information_available,no information,no information
Madagascar,2013,no_information_available,no information,no information
Madagascar,2014,no_information_available,no information,no information
Madagascar,2015,no_information_available,no information,no information
Mexico,2005,no_information_available,no information,no information
Mexico,2006,no_information_available,no information,no information
Mexico,2008,no_information_available,no information,no information
Mexico,2009,no_information_available,no information,no information
Mexico,2010,no_information_available,no information,no information
Marshall Islands,2012,no_information_available,no information,no information
Marshall Islands,2013,no_information_available,no information,no information
Former Yug. Rep. of Macedonia,2006,no_information_available,no information,no information
Former Yug. Rep. of Macedonia,2007,no_information_available,no information,no information
Former Yug. Rep. of Macedonia,2008,no_information_available,no information,no information
Former Yug. Rep. of Macedonia,2009,no_information_available,no information,no information
Former Yug. Rep. of Macedonia,2011,no_information_available,no information,no information
Mali,2007,no_information_available,no information,no information
Mali,2009,no_information_available,no information,no information
Mali,2010,no_information_available,no information,no information
Mali,2011,no_information_available,no information,no information
Mali,2012,no_information_available,no information,no information
Mali,2013,no_information_available,no information,no information
Mali,2014,no_information_available,no information,no information
Mali,2015,no_information_available,no information,no information
Mali,2016,no_information_available,no information,no information
Mali,2017,no_information_available,no information,no information
Malta,2008,no_information_available,no information,no information
Myanmar,2011,no_information_available,no information,no information
Myanmar,2016,no_information_available,no information,no information
Myanmar,2017,no_information_available,no information,no information
Montenegro,2010,no_information_available,no information,no information
Montenegro,2011,no_information_available,no information,no information
Montenegro,2013,no_information_available,no information,no information
Montenegro,2015,no_information_available,no information,no information
Montenegro,2016,no_information_available,no information,no information
Montenegro,2018,no_information_available,no information,no information
Mongolia,2007,no_information_available,no information,no information
Mongolia,2008,no_information_available,no information,no information
Mongolia,2009,no_information_available,no information,no information
Mongolia,2010,no_information_available,no information,no information
Mongolia,2011,no_information_available,no information,no information
Mongolia,2012,no_information_available,no information,no information
Mongolia,2013,no_information_available,no information,no information
Mongolia,2014,no_information_available,no information,no information
Mongolia,2018,no_information_available,no information,no information
Mozambique,2005,no_information_available,no information,no information
Mozambique,2008,no_information_available,no information,no information
Mozambique,2010,no_information_available,no information,no information
Mozambique,2011,no_information_available,no information,no information
Mauritania,2005,no_information_available,no information,no information
Mauritania,2006,no_information_available,no information,no information
Mauritania,2007,no_information_available,no information,no information
Mauritania,2008,no_information_available,no information,no information
Mauritania,2009,no_information_available,no information,no information
Mauritania,2010,no_information_available,no information,no information
Mauritania,2011,no_information_available,no information,no information
Mauritania,2012,no_information_available,no information,no information
Mauritania,2013,no_information_available,no information,no information
Martinique (France),2005,no_information_available,no information,no information
Martinique (France),2006,no_information_available,no information,no information
Martinique (France),2009,no_information_available,no information,no information
