disease,causal_agent
infection with xenohaliotis californiensis,xenohaliotis californiensis
sheep pox and goat pox,sheep pox virus
contagious equine metritis,taylorella equigenitalis
leishmaniosis,leishmania
rabies,rabies virus
venezuelan equine encephalomyelitis,"venezuelan equine encephalomyelitis virus, genus alphavirus, family togaviridae"
peste des petits ruminants,peste des petits ruminants virus
foot and mouth disease,foot and mouth disease virus (sea topotype)
venezuelan equine encephalomyelitis,venezuelan equine encephalomyelitis virus
highly pathogenic avian influenza,NA
aujeszkys disease,alphaherpesvirus
scrapie,prion protein
avian infectious bronchitis,avian infectious bronchitis virus
white spot disease,whispovirus - nimaviridae
scrapie,prion protein
anthrax,NA
newcastle disease,velogenic newcastle disease virus
rabbit haemorrhagic disease,rabbit haemorrhagic disease virus
bovine spongiform encephalopathy,prion
rabbit haemorrhagic disease,calicivirus
american foulbrood of honey bees,paenibacillus larvae
koi herpesvirus disease,cyhv-3
peste des petits ruminants,paramyxovirus
myxomatosis,myxoma virus
white spot disease,white spot disease virus
low pathogenic avian influenza (poultry),low pathogenic avian influenza virus (h7)
dourine,trypanosoma equiperdum
equine rhinopneumonitis,equid herpesvirus 1
classical swine fever,"classical swine fever virus, type 2.1"
caprine arthritis/encephalitis,caprine arthritis/encephalitis virus
leishmaniosis,leishmania infantum
spring viraemia of carp,spring viraemia of carp virus
american foulbrood of honey bees,bacillus larvae
infection with perkinsus olseni,perkinsus sp.
ostreid herpesvirus 1,"oshv-1, µvar"
detection of herpesvirus oshv-1,herpesvirus oshv-1
european foulbrood of honey bees,m. plutonious
equine infectious anaemia,equine infectious anæmia virus
equine influenza,influenza a virus
koi herpesvirus disease,koi herpesvirus
hendra,hendra virus
bluetongue,bluegongue virus
rabies,lyssavirus
bluetongue,bluegontue virus
rabies,"rabies virus, genotype 1"
highly pathogenic avian influenza,highly pathogenic avian influenza virus
infection with marteilia refringens,marteilia refringens
infection with marteilia refringens,marteilia refringens (m type)
low pathogenic avian influenza (poultry),low pathogenic avian influenza virus subtype h5
pullorum disease,salmonella gallinarum biovar pullorum
white spot disease,white spot syndrome virus
rabies,"rhabdovirus (genotype 1, serotype 1)"
newcastle disease,avian paramyxovirus serotype 1
transmissible gastroenteritis,transmissible gastroenteritis virus
bovine tuberculosis,mycobacterium  spp.
lumpy skin disease,lumpy skin disease virus
peste des petits ruminants,paramyxoviridae/morbillivirus
transmissible gastroenteritis,coronavirus
bluetongue,arbovirus
schmallenberg disease,schmallenberg virus
newcastle disease,paramyxovirus serotype 1
schmallenberg virus,schmallenberg virus
schmallenberg-virus,schmallenberg virus
equine rhinopneumonitis,equid herpesvirus-1
scrapie,scrapie prion (prpsc)
rabbit haemorrhagic disease,rabbit haemorrhagic disease virus (fra 10 variant)
equine piroplasmosis,babesia caballi
avian infectious laryngotracheitis,infectious laryngotracheitis virus
equine piroplasmosis,theileria equi
virus de schmallenberg,virus de schmallenberg
infectious salmon anaemia,infectious salmon anaemia virus
foot and mouth disease,foot and mouth disease (fmd) virus
enzootic abortion of ewes (ovine chlamydiosis),chlamydophila abortus
brucellosis (brucella abortus),brucella abortus
peste des petits ruminants,morbillivirus
peste des petits ruminants,morbillivirus lineage iv
bovine spongiform encephalopathy,prion (atypical bse)
brucellosis (brucella abortus),brucella abortus biovar 3
brucellosis (brucella melitensis),brucella melitensis biovar 3
new world screwworm (cochliomyia hominivorax),larvae of cochliomyia hominivorax
brucellosis (brucella suis),brucella suis - biovar 2
equine influenza,equine influenza virus
european foulbrood of honey bees,melissococcus plutonius
infectious salmon anaemia,infectious salmon anaemia (isa) virus
maedi-visna,maedi-visna virus
avian infectious laryngotracheitis,gallid herpesvirus 1
infection with schmallenbergvirus,schmallenbergvirus
maedi-visna,maedi-visna virus
infectious salmon anaemia,infectious salmon anaemia (isa) virus
avian infectious laryngotracheitis,gallid herpesvirus 1
infectious bovine rhinotracheitis/infectious pustular vulvovaginitis,bovine herpesvirus 1
american foulbrood of honey bees,paenibacillus larvae ss larvae
contagious bovine pleuropneumonia,mycoplasma mycoides subsp mycoides sc
fowl typhoid,salmonella gallinarum
tularemia,francisella tularensis
infection with perkinsus olseni,perkinsus olseni
bovine spongiform encephalopathy,prion responsible for bovine spongiform encephalopathy
bovine spongiform encephalopathy,prion protein responsible for bovine spongiform encephalopathy
lumpy skin disease,capripoxvirus - poxviridae
newcastle disease,avian paramyxovirus 1
vesicular stomatitis,vesicular stomatitis virus
viral haemorrhagic septicaemia,viral haemorrhagic septicaemia virus
infection with perkinsus marinus,perkinsus marinus
avian infectious laryngotracheitis,NA
lumpy skin disease,capripoxvirus
bovine tuberculosis,mycobacterium bovis spp. bovis
viral haemorrhagic septicaemia,"viral haemorrhagic septicaemia virus, strain ivb"
varroosis of honey bees,varroa sp.
"oyster herpesvirus (oshv-1, µvar)","oshv-1, µvar"
old world screwworm (chrysomya bezziana),chrysomya bezziana
european foulbrood of honey bees,paenibacillus larvae
varroosis of honey bees,varroa destructor
low pathogenic avian influenza (poultry),low pathogenicity avian influenza virus
low pathogenic avian influenza (poultry),low pathogenic avian influenza
highly pathogenic avian influenza,highly pathogenic avian influenza
porcine reproductive and respiratory syndrome,"porcine reproductive and respiratory syndrome virus, type 2"
foot and mouth disease,food and mouth disease virus
rabies,lyssavirus
african swine fever,virus de la peste porcine africaine
avian chlamydiosis,chlamydophila psittaci
bovine tuberculosis,mycobacterium bovis
sheep pox and goat pox,capripoxvirus (family poxviridae)
rift valley fever,rift valley fever virus
american foulbrood of honey bees,paenebacillus larvae
porcine reproductive and respiratory syndrome,arterivirus
herpesvirus oshv-1,"oyster herpesvirus (oshv-1, µvar)"
red sea bream iridoviral disease,red sea bream iridovirus
equine rhinopneumonitis,equid herpesvirus 4
mikrocytos mimicus n. sp.,mikrocytos mimicus n. sp.
mers-cov,mers-cov
heartwater,ehrlichia ruminantium
infectious haematopoietic necrosis,infectious haematopoietic necrosis virus
bovine spongiform encephalopathy,prion (atypical bse l-type)
bovine spongiform encephalopathy,prion (atypical bse h-type)
bovine babesiosis,babesia bovis
porcine reproductive and respiratory syndrome,"porcine reproductive and respiratory syndrome virus, american type"
porcine reproductive and respiratory syndrome,"porcine reproductive and respiratory syndrome virus, type 2 (american type)"
swine novel enteric corona virus disease,novel swine enteric coronavirus
porcine epidemic diarrhea,porcine epidemic diarrhea virus
porcine epidemic diarrhea,porcine epidemic diarrhea virus
american foulbrood of honey bees,paennibacilus larvae
african horse sickness,orbivirus
porcine epidemic diarrhea virus,porcine epidemic diarrhea virus
newcastle disease,avian paramyxovirus serotype 1 (apmv-1)
porcine epidemic diarrhea,coronavirus
new disease in rainbow trout,unknown
rabbit haemorrhagic disease,rhdv2
west nile fever,west nile virus
monkey pox,monkey pox virus
bovine anaplasmosis,anaplasma marginale
newcastle disease,virulent newcastle disease virus
infection with ostreid herpesvirus-1 microvariant,ostreid herpesvirus microvariant (oshv-1 var)
low pathogenic avian influenza (poultry),low pathogenic avian influenza virus
foot and mouth disease,virus de la fièvre aphteuse
bluetongue,reoviridae genre orbivirus
koi herpesvirus disease,koi herpesvirus (khv)
infection with gyrodactylus salaris,gyrodactylus salaris
swine enteric coronavirus,swine enteric coronavirus
newcastle disease,paramyxovirus type 1 (pmv-1)
aujeszkys disease,aujeszkys disease virus
infection with coronavirus in camels,coronavirus
contagious agalactia,mycoplasma agalactiae
infection with ostreid herpesvirus-1 microvariant,ostreid herpesvirus-1 microvariant
infectious salmon anaemia virus (hpr-deleted or hpr0 genotypes) (infection with),infectious salmon anaemia virus
bovine spongiform encephalopathy,resistant prion protein (prpres) - classical bse
infection with ostreid herpesvirus-1 microvariant,ostreid herpesvirus 1
highly pathogenic avian influenza,avian influenza virus
equid herpesvirus-1 (ehv-1) (infection with),equid herpesvirus-1 (ehv-1)
necrotising hepatopancreatitis,hepatobacter penaei
infection with perkinsus olseni,p. olseni
sheep pox and goat pox,NA
equine infectious anaemia,-
bovine spongiform encephalopathy,prion (atypical bse type h)
bovine spongiform encephalopathy,c-type bse (classical)
infection with bonamia ostreae,bonamia ostreae
bluetongue,serotyping in progress.
leishmaniosis,leishmania sp
contagious equine metritis,NA
spring viraemia of carp,spring viraemia of carp virus
newcastle disease,newcastle disease virus (paramyxovirus)
newcastle disease,ndv
foot and mouth disease,foot and mouth disease virus (picornaviridae)
haemorrhagic septicaemia,pasteurella multocida
rabies,lyssavirus (rabv type africa 1)
avian mycoplasmosis (m. gallisepticum),mycoplasma gallisepticum
avian mycoplasmosis (m.synoviae),mycoplasma synoviae
viral haemorrhagic septicaemia,viral haemorrhagic septicaemia virus (genotype g1b)
paratuberculosis,mycobacterium avium subsp. paratuberculosis
rabbit haemorrhagic disease,rabbit haemorrhagic disease virus 2 (rhdv2)
peste des petits ruminants,virus de la peste des petits ruminants
bluetongue,bluetongue virus
duck virus hepatitis,duck hepatitis a virus
african swine fever,african cwine fever virus
brucellosis (brucella suis),brucella suis (biovar 2)
newcastle disease,NA
rabies,lyssavirus (rabv vampire bat rabies type)
brucellosis (brucella abortus),brucella spp
european foulbrood of honey bees,"melissococcus plutonius, psenibacillys alvei"
american foulbrood of honey bees,paenibacillus larvae sbsp larvae
rabbit haemorrhagic disease,rabbit haemorrhagic disease virus 2
porcine reproductive and respiratory syndrome,porcine reproductive and respiratory syndrome (na and cn strains)
epizootic haemorrhagic disease,epizootic haemorrhagic disease virus
contagious bovine pleuropneumonia,mycoplasma mycoïdes subsp. mycoïdes
viral haemorrhagic septicaemia,viral haemorrhagic septicaemia virus (vhsv)
rabies,lyssaviruses
highly pathogenic avian influenza,virus de l'influenza aviaire hautement pathogène
foot and mouth disease,foot and mouth disease virus (genotype vii)
rabbit haemorrhagic disease,rabbit haemorrhagic disease virus (fra2010)
foot and mouth disease,foot and mouth disease virus (o me-sa/ind-2001d)
foot and mouth disease,food and mouth disease virus (genotype vii)
brucellosis (brucella suis),brucella suis biovar 2
virus de la diarrea epidémica porcina,porcine epidemic diarrhea virus
hepatopancreatitis in prawns,suspected vibrio sp.
peste des petits ruminants,peste de petits ruminants virus
monkey pox,monkey pox virus
foot and mouth disease,NA
peste des petits ruminants,peste des petits ruminants virus (morbillivirus)
venezuelan equine encephalomyelitis,alphavirus
bovine spongiform encephalopathy,pathological prion protein
highly pathogenic avian influenza,virus de la influenza aviar altamente patógena
bluetongue,virus de la fièvre catarrhale du mouton
european foulbrood of honey bees,melissococcus plutonius
lumpy skin disease,poxviridae
lumpy skin disease,lsd virus
west nile fever,NA
rabbit haemorrhagic disease,rabbit haemorrhagic disease virus (rhdv)
rabbit haemorrhagic disease,rhd virus type 2 (rhdv-2)
rabbit haemorrhagic disease,rabbit haemorrhagic disease virus (rhdv2)
viral haemorrhagic septicaemia,viral haemorrhagic septicaemia virus (genotype iva)
varroosis of honey bees,varroa jacobsoni
bluetongue,virus de la lengua azul
lumpy skin disease,neethling poxvirus
equine infectious anaemia,NA
anthrax,bacillus anthtracis
lumpy skin disease,virus de la dermatosis nodular contagiosa
koi herpesvirus disease,koi herpes virus
european foulbrood of honey bees,melisococcus plutonius
camelpox,camelpox virus
camelpox,camelpox virus
equine infectious anaemia,equine infectious anaemia virus
avian infectious bronchitis,coronavirus from the family coronaviridae
,monkeypox virus
foot and mouth disease,foot-and-mouth disease virus
scrapie,prpsc
new world screwworm (cochliomyia hominivorax),new world screwworm (cochliomyia hominivorax)
african swine fever,afircan swine fever virus
highly pathogenic avian influenza,highly pathogenic avian influenza virus
highly pathogenic avian influenza,highly pathogenic avian influenza virus in wild birds
surra (trypanosoma evansi),trypanosoma evansi
newcastle disease,avian paramyxovirus type 1 (apmv-1)
foot and mouth disease,fmdv
viral haemorrhagic septicaemia,viral haemorragic septicaemia virus
highly pathogenic avian influenza,highly pathogenic influenza a virus
low pathogenic avian influenza (poultry),virus de l'influenza aviaire faiblement pathogène
highly pathogenic avian influenza,influenza a virus
american foulbrood of honey bees,NA
highly pathogenic influenza a viruses (infection with) (non-poultry including wild birds),highly pathogenic influenza a virus
highly pathogenic influenza a viruses (infection with) (non-poultry including wild birds),virus de la influenza a altamente patógena
highly pathogenic avian influenza,highly pathogenic avian influenza virus
bovine spongiform encephalopathy,bse prion
newcastle disease,"avian paramyxovirus type 1 (apmv1), pigeon variant"
highly pathogenic influenza a viruses (infection with) (non-poultry including wild birds),highly pathogenic avian influenza virus
small hive beetle infestation (aethina tumida),aethina tumida murray
spring viraemia of carp,rhabdovirus
paratuberculosis,m. paratuberculosis
highly pathogenic influenza a viruses (infection with) (non-poultry including wild birds),virus de l'influenza a hautement pathogène
haemorrhagic septicaemia,pasteurella b (hs)
bluetongue,-
bovine spongiform encephalopathy,prion (atypical bse type l)
koi herpesvirus disease,herpesvirus
highly pathogenic avian influenza,virus de l'influenza aviaire hautement pathogène chez les oiseaux sauvages
pigeon rotavirus,rotavirus
rabbit haemorrhagic disease,"rabbit haemorrhagic disease virus 1, strain k5"
newcastle disease,"avian paramyxovirus type 1 (apmv1), pigeon variant"
contagious bovine pleuropneumonia,mycoplasma mycoides subsp. mycoides sc (bovine biotype)
spring viraemia of carp,"spring viraemia of carp virus, genotype d (european strain)"
foot and mouth disease,foot and mouth disease virus (a/asia/g-vii[g-18])
european foulbrood of honey bees,melissococus plutonius
tilapia lake virus disease,tilapia lake virus (tilv)
tilapia syncytial hepatitis,tilapia lake virus
infection with ranavirus,ranavirus (chinese giant salamander ranavirus)
tilapia syncitial hepatitis,tilapia lake virus (tilv)
tilapia lake virus disease,tilapia lake virus  (tilv)
trypanosomosis,trypanosoma vivax
highly pathogenic avian influenza,avian influenza virus
foot and mouth disease,foot and mouth disease virus
porcine reproductive and respiratory syndrome,prrs virus (arterivirus) genotype 2 (american)
european foulbrood of honey bees,mellissococcus plutonius
tilapia syncitial hepatitis,tilapia lake virus
bluetongue,: virus de la fièvre catarrhale du mouton
equine infectious anaemia,equine infectious anemia virus
bluetongue,virus de la fièvre catarrhale ovine
infectious salmon anaemia virus (hpr-deleted or hpr0 genotypes) (infection with),infectious salmon anaemia virus (isav)
equine piroplasmosis,theileria equi and babesia caballi
bovine spongiform encephalopathy,prion (atypical low-type bse)
porcine reproductive and respiratory syndrome,porcins reproductive and respiratory syndrome virus
acute hepatopancreatic necrosis disease,vibrio parahaemolyticus
foot and mouth disease,foot and mouth disease virus (lineage g-vii)
red sea bream iridoviral disease,red sea bream iridovirus ehime-1
white tail disease,extra small virus
american foulbrood of honey bees,paenibacillus larvae genotype eric i
rabies,rabies virus
foot and mouth disease,footh and mouth disease virus (lineage g-vii)
tilapia lake virus disease,orthomyxo-like virus
west nile fever,west nile fever virus (lineage 2)
red sea bream iridoviral disease,ehime-1 del iridovirus de la dorada japonesa
african swine fever,african swine fever virus
american foulbrood of honey bees,paenibacillus larvae génotype eric i
mers-cov,mers-cov
equine piroplasmosis,babesia caballi/theileria equi
tilapia lake virus (tilv),tilapia lake virus (tilv)
newcastle disease,"avian paramyxovirus type 1 (apmv1), lineage 4b"
bluetongue,NA
infectious haematopoietic necrosis,infectious haematopoietic necrosis virus
bluetongue,btv
highly pathogenic avian influenza,hpai
classical swine fever,classical swine fever virus
classical swine fever,csf-virus
foot and mouth disease,foot and mouth disease virus
newcastle disease,pmv-1
highly pathogenic avian influenza,virus subtype h5n1
newcastle disease,"avian paramyxovirus type 1 (apmv1), lineage 4"
newcastle disease,-
foot and mouth disease,virus de la fièvre aphteuse
highly pathogenic avian influenza,highly pathogenic avian influenza  virus
equine infectious anaemia,eia
bluetongue,virus de la fièvre catarrhale du mouton
scrapie,-
epizootic haemorrhagic disease,orbivirus
highly pathogenic avian influenza,avian influenza virus
equine infectious anaemia,equine infectious anaemia (eia)
foot and mouth disease,fmd virus o.
sheep pox and goat pox,capripox virus
american foulbrood of honey bees,paenibacillus larvae sbsp larvae
epizootic haemorrhagic disease,epizootic haemorrhagic disease virus
foot and mouth disease,fmd virus o1
epizootic haemorrhagic disease,epizootic haemorrhagic disease virus
classical swine fever,"virus family flaviviridae, genus pestevirus"
west nile fever,virus del oeste del nilo
rift valley fever,-
peste des petits ruminants,-
highly pathogenic avian influenza,avian influenza virus
contagious equine metritis,streptomycin-resistant taylorella equigenitalis
bluetongue,btv8
classical swine fever,"virus de la familia flaviviridae , género pestevirus"
bluetongue,bluetongue virus serotypes 4 and 15
highly pathogenic avian influenza,hpai virus
foot and mouth disease,virus de la fiebre aftosa
newcastle disease,avian paramyxovirus
foot and mouth disease,fmd virus
sheep pox and goat pox,sheep and goat pox virus
bovine genital campylobacteriosis,campylobacter foetus spp. veneralis
rift valley fever,rift valley fever virus (phlebovirus)
highly pathogenic avian influenza,virus de l'influenza avaire
myxomatosis,myxomatosis virus
contagious agalactia,mycoplasma mycoides subsp. mycoides lc type
foot and mouth disease,foot and mouth disease virus o1
infectious haematopoietic necrosis,ihnv
scrapie,prion
foot and mouth disease,foot and mouth disease  virus
low pathogenic avian influenza (poultry),low pathogenic avian influenza virus subtype h5n2
q fever,coxiella burnetti
avian infectious bronchitis,infectious bronchitis virus
newcastle disease,avian paramyxovirus type 1 (apmv-1)
foot and mouth disease,foot and mouth disease  virus o1
foot and mouth disease,virus de la fiebre aftosa
porcine reproductive and respiratory syndrome,prrsv
lumpy skin disease,lumpy skin disease (lsd) virus
newcastle disease,paramyxovirus 1
viral haemorrhagic septicaemia,viral haemorrhagic septicaemia virus
viral haemorrhagic septicaemia,"viral haemorrhagic septicaemia virus, strain ivb"
newcastle disease,velogenic virus
taura syndrome,taura syndrome virus
american foulbrood of honey bees,paenibacillus larvae larvae
infection with xenohaliotis californiensis,candidatus xenohaliotis californiensis
highly pathogenic avian influenza,highly pathogenic avian influenza virus type a
equine infectious anaemia,viral infection
maedi-visna,maedi-visna virus
african swine fever,-
ovine epididymitis (brucella ovis),brucella ovis
american foulbrood of honey bees,-
haemorrhagic septicaemia (ulcer disease or red sore disease),aeromonas hydrophila
white spot disease,white spot syndrome virus
peste des petits ruminants,"virus family paramyxoviridae, genus morbillivirus"
newcastle disease,velogenic strain of the virus
foot and mouth disease,foot and mouth disease  virus
classical swine fever,"virus family flaviviridae, genus pestivirus"
classical swine fever,unknown
african horse sickness,african horse sickness virus (family: reoviridae; genus: orbivirus)
viral haemorrhagic septicaemia,viral haemorrhagic septicaemia virus genotype 1a
anthrax,-
koi herpesvirus disease,koi herpesvirus (cyprinid herpesvirus 3)
american foulbrood of honey bees,paenibacillus larvae subsp. larvae
classical swine fever,"virus family flaviviridae, genus pestivirus"
aujeszkys disease,-
scrapie,scrapie prion
lumpy skin disease,"virus family poxviridae, genus capripoxvirus"
newcastle disease,velogenic strain of the virus
caprine and ovine brucellosis (excluding b. ovis),-
classical swine fever,-
lumpy skin disease,NA
epizootic ulcerative syndrome,aphanomyces invadans (a. piscicida)
swine vesicular disease,swine vesicular disease virus
caprine arthritis/encephalitis,-
rift valley fever,NA
spring viraemia of carp,spring viraemia of carp (svc) virus
newcastle disease,avian paramyxovirus type 1 (apmv-1)
classical swine fever,classical  swine fever virus
porcine reproductive and respiratory syndrome,arteritvirus
peste des petits ruminants,morbilivirus
classical swine fever,NA
infectious salmon anaemia,"infectious salmon anaemia virus, family orthomyxoviridae, genus isavirus"
west nile fever,west nile virus
equine encephalomyelitis (eastern and western),-
fiebre del nilo occidental,west nile virus
rabbit haemorrhagic disease,-
foot and mouth disease,foot and mouth disease
equine rhinopneumonitis,-
equine rhinopneumonitis,herpesvirus 1
newcastle disease,avian paramyxovirus type 1
newcastle disease,avian paramyxovirus 1
equine influenza,equine influenza virus a
newcastle disease,virus de la enfermedad de newcastle
rabbit haemorrhagic disease,calicivirus
koi herpesvirus disease,koi herpesvirus (cyprinid herpesvirus 3)
newcastle disease,avian paramyxovirus serotype 1 lineage 5b
equine viral arteritis,european-related strain of equine arteritis virus
contagious equine metritis,streptomycin-resistant tayorella equigenitalis
infectious bovine rhinotracheitis/infectious pustular vulvovaginitis,-
enzootic bovine leukosis,-
equine influenza,equine-2 influenza virus (h3n8)
bovine spongiform encephalopathy,-
streptococcus suis,streptococcus suis b
,-
white spot disease,-
bovine spongiform encephalopathy,pathological prion protein responsible for for bovine spongiform encephalopathy
sheep pox and goat pox,-
bluetongue,bluetongue
west nile fever,west nile virus (wnv)
bluetongue,bluetongue virus
infectious haematopoietic necrosis,-
porcine reproductive and respiratory syndrome,"porcine reproductive and respiratory syndrome virus, north american genotype"
newcastle disease,paramyxovirus 1
equine influenza,equine influenza virus a subtype h3n8
equine influenza,equine influenza virus subtype h3n8
infectious salmon anaemia,"infectious salmon anaemia virus, family orthomyxoviridae, genus isavirus"
rabies,"rabies virus, indian strain"
rabies,"rabies virus, bat-associated variant"
aujeszkys disease,aujeszky's virus
rabies,european bat lyssavirus biotype 1a (eblv1a)
african horse sickness,african horse sickness virus serotype 2
low pathogenic avian influenza (poultry),low pathogenic avian influenza virus (serotype h5)
brucellosis (brucella abortus),brucella spp.
viral haemorrhagic septicaemia,"viral haemorrhagic septicaemia virus, subtype iii"
rift valley fever,rift valley fever virus. genus: phlebovirus. family: bunyaviridae
rabies,"serotype 1 lyssavirus genotype 1, type africa i, morocco"
white tail disease,machrobrachium rosenbergii nodavirus
malignant catarrhal fever (wildebeest only),"alcelaphine herpesvirus-1, ahv-1"
newcastle disease,paramyxovirus-1
newcastle disease,avian paramyxovirus-1
rabies,"serotype 1 lyssavirus genotype 1 (rabies virus), type africa i, morocco"
infectious myonecrosis,infectious myonecrosis virus
infectious hypodermal and haematopoietic necrosis,infectious hypodermal and haematopoietic necrosis virus
aujeszkys disease,"alfa-herpesvirus,"
classical swine fever,virus de la ppc
bovine viral diarrhoea,"bovine viral diarrhoea virus (bvdv), genotype 2"
suspected: herpesvirus oshv-1 frequently associated with vibrio splendidus,suspected: herpesvirus oshv-1 frequently associated with vibrio splendidus
suspected: herpesvirus oshv-1 frequently associated with vibrio splendidus,suspected: herpesvirus oshv-1 frequently associated with vibrio splendidus
avian infectious laryngotracheitis,avian infectious laryngotracheitis virus
abalone viral ganglioneuritis,herpes-like virus
rift valley fever,"genre phlebovirus, family bunyaviridae"
peste des petits ruminants,peste des petits ruminants virus (lineage iv)
classical swine fever,classical swine fever  virus
rabies,lyssavirus 1
equine influenza,a/equi-2
sheep pox and goat pox,capripox virus
rift valley fever,genus: phlebovirus - family: bunyaviridae
lumpy skin disease,virus of the family poxviridae
low pathogenic avian influenza (poultry),low pathogenic avian influenza virus (h5)
scrapie,prion
trichinellosis,trichinella spiralis
postweaning multisystemic wasting syndrome (pmws),porcine circovirus type 2
newcastle disease,virulent paramyxovirus 1 (pmv-1)
equine encephalosis,equine encephalosis virus
spring viraemia of carp,spring viraemia of carp (svc) isolate 464
a/h1n1 influenza,novel a/h1n1 2009 influenza virus
newcastle disease,ppmv 1 - velogenic virus strains
peste des petits ruminants,"virus family paramyxoviridae, genus morbillivirus"
newcastle disease,velogenic strain of newcastle disease virus
foot and mouth disease,foot and mouth disease virus (a iran 2005)
a/h1n1 influenza,a/h1n1 influenza virus
infectious bovine rhinotracheitis/infectious pustular vulvovaginitis,bovine herpesvirus 1 (bohv-1)
a/h1n1 influenza,a/h1n1 influenza virus
influenza a subtype h1,influenza a h1 subtype
influenza a subtype h1n1,influenza a h1n1 subtype
rabies,european bat lyssavirus 2
newcastle disease,paramyxovirus aviar
influenza a h1n1,influenza a virus
venezuelan equine encephalomyelitis,togaviridae alphavirus
influenza a h1n1,influenza a virus
venezuelan equine encephalomyelitis,togaviridae alfavirus
highly pathogenic avian influenza,highly pathogenic avain influenza virus
pandemic influenza a h1n1 (2009),pandemic h1n1 virus (2009)
pandemic a/h1n1 2009 virus,pandemic influenza a/h1n1 virus
scrapie,prp
suspected variant ostreid herpes virus 1 (oshv1),probable variant strain of oshv1
pandemic a/h1n1 2009 virus,pandemic a/h1n1 2009 virus
contagious caprine pleuropneumonia,mycoplasma capricolum spp.
pandemic influenza h1n1 (2009),pandemic influenza h1n1 2009
influenza a (h3n2),influenza a  (h3n2)
pandemic h1n1 2009,pandemic h1n1 virus
pandemic influenza a/h1n1 virus,pandemic influenza a/h1n1 virus
contagious caprine pleuropneumonia,mycoplasma capricolum subspecies capripneumoniae (mccp)
2009 pandemic a/h1n1 influenza,2009 pandemic a/h1n1 influenza virus
newcastle disease,velogenic strain of the newcastle disease virus
influenza a virus,influenza a/h1n1 virus
pandemic influenza a/h1n1,pandemic influenza a/h1n1 virus
pandemic influenza a/h1n1 2009,pandemic a/h1n1 virus
2009 pandemic a/h1n1  influenza virus,2009 pandemic a/h1n1  influenza virus
pandemic a/h1n1 virus,pandemic a/h1n1 virus
infectious salmon anaemia,"infectious salmon anaemia (isa) virus, north american group, new strain"
2009 pandemic h1n1 influenza,2009 pandemic h1n1 virus
influenza a h1n1 in pigs,influenza virus a h1n1
bovine spongiform encephalopathy,bovine spongiform encephalopathy prion
pandemic influenza h1n1 2009,influenza a/h1n1 virus
pandemic influenza h1n1,pandemic influenza h1n1 virus
pandemic influenza a/h1n1 2009,pandemic influenza a/h1n1 2009 virus
