id,preferred_label,synonyms,class_desc
mh380,bacterial kidney disease (fish),bacterial kidney disease,disease specific
bacterie,bacterie,NA,NA
baculovirus,baculovirus,NA,NA
ag495,baculovirus penaei,NA,pathogen
abeille,bee,NA,NA
ma206,bee amoeba,NA,disease group
mh14,bee amoeba (bee),bee amoeba,disease specific
mh14,bee amoeba (bee),amibiosis,disease specific
ma213,bee lice,NA,disease group
mh367,bee lice (bee),bee lice,disease specific
mh367,bee lice (bee),stonebrood,disease specific
ma226,bee virus x,NA,disease group
mh493,bee virus x (bee),bee virus x,disease specific
ma227,bee virys y,NA,disease group
mh494,bee virys y (bee),bee virys y,disease specific
ag283,berkeley bee virus,bbv,pathogen
ma224,berkeley virus,NA,disease group
mh483,berkeley virus (bee),berkeley virus,disease specific
ag10,besnoitia besnoiti,NA,pathogen
ma7,besnoitiosis,NA,disease group
mh37,besnoitiosis (cattle),besnoitiosis,disease specific
ag239,bibersteinia trehalosi,NA,pathogen
birnavirus,birnavirus,NA,NA
ma225,black queen cell virus,NA,disease group
ag284,black queen cell virus,bqcv,pathogen
mh484,black queen cell virus (bee),black queen cell virus,disease specific
mh484,black queen cell virus (bee),bqcv,disease specific
ma12,blackleg,NA,disease group
mh58,blackleg (cattle),blackleg,disease specific
mh59,"blackleg (sheep, goat)",blackleg,disease specific
mh59,"blackleg (sheep, goat)",malignant oedema,disease specific
mh91,"bladder worm (sheep, goat)",bladder worm,disease specific
ag39,bluetongue virus,,pathogen
ag39,bluetongue virus,btv,pathogen
ag480,bolobophorus spp.,NA,pathogen
ag486,bonamia exitiosa,NA,pathogen
ag485,bonamia ostreae,NA,pathogen
ma377,bonamiosis,NA,disease group
mh38,bonamiosis (mollusc),bonamiosis,disease specific
ag240,border disease virus,bdv,pathogen
ag325,bordetella bronchiseptica,NA,pathogen
ma452,borna disease,NA,disease group
mh261,"borna disease (sheep, goat)",borna disease,disease specific
ag757,borna disease virus,bdv,pathogen
ag61,borrelia burgdorferi,NA,pathogen
ag406,bothriocephalus acheilognathi,NA,pathogen
ma8,botulism,NA,disease group
mh40,botulism (cattle),botulism,disease specific
mh512,botulism (poultry),western duck sickness,disease specific
mh512,botulism (poultry),limberneck,disease specific
mh512,botulism (poultry),botulism,disease specific
mh41,"botulism (sheep, goat)",limberneck,disease specific
mh41,"botulism (sheep, goat)",botulism,disease specific
ma4,bovine anaplasmosis,NA,disease group
mh15,bovine anaplasmosis (cattle),bovine anaplasmosis,disease specific
ma6,bovine babesiosis,NA,disease group
mh33,bovine babesiosis (cattle),bovine babesiosis,disease specific
ag34,bovine coronavirus,bcv,pathogen
ma18,bovine cystercosis,NA,disease group
mh89,bovine cystercosis (cattle),bovine cystercosis,disease specific
mh89,bovine cystercosis (cattle),bladder worm,disease specific
mh89,bovine cystercosis (cattle),beef tape worm,disease specific
ma11,bovine genital campylobacteriosis,NA,disease group
mh52,bovine genital campylobacteriosis (cattle),bovine genital campylobacteriosis,disease specific
ag88,bovine herpesvirus 2,bhv2,pathogen
ag88,bovine herpesvirus 2,bohv-2,pathogen
ma37,bovine hypodermosis,NA,disease group
mh217,bovine hypodermosis (cattle),hypodermosis,disease specific
mh217,bovine hypodermosis (cattle),warble fly infestation,disease specific
mh217,bovine hypodermosis (cattle),bovine hypodermosis,disease specific
mh217,bovine hypodermosis (cattle),cattle hypodermosis,disease specific
ag58,bovine leukemia virus,blv,pathogen
ma43,bovine leukosis,NA,disease group
mh243,bovine leukosis (cattle),bovine leukosis,disease specific
mh243,bovine leukosis (cattle),malignant lymphoma,disease specific
mh243,bovine leukosis (cattle),bovine lymphosarcoma,disease specific
mh243,bovine leukosis (cattle),leukemia,disease specific
ag76,bovine papillomavirus,NA,pathogen
ma58,bovine papillomavirus infection,NA,disease group
mh330,bovine papillomavirus infection (cattle),bovine papillomavirus infection,disease specific
ma72,bovine papular stomatitis,NA,disease group
ma73,bovine papular stomatitis,NA,disease group
mh411,bovine papular stomatitis (cattle),bovine papular stomatitis,disease specific
mh412,bovine papular stomatitis (cattle),bovine papular stomatitis,disease specific
ag748,bovine papular stomatitis virus,NA,pathogen
ma9,bovine respiratory disease,NA,disease group
mh44,bovine respiratory disease (cattle),brd,disease specific
mh44,bovine respiratory disease (cattle),bovine respiratory disease,disease specific
ag3,bovine respiratory syncytial virus,brsv,pathogen
ma3,bovine respiratory syncytial virus infection,NA,disease group
mh10,bovine respiratory syncytial virus infection (cattle),bovine respiratory syncytial virus infection,disease specific
ma24,bovine spongiform encephalopathy,NA,disease group
mh134,bovine spongiform encephalopathy (cattle),bse,disease specific
mh134,bovine spongiform encephalopathy (cattle),bovine spongiform encephalopathy,disease specific
ma77,bovine ulcerative mammillitis,NA,disease group
mh445,bovine ulcerative mammillitis (cattle),bovine ulcerative mammillitis,disease specific
ma23,bovine viral diarrhea,NA,disease group
mh107,bovine viral diarrhea (cattle),md,disease specific
mh107,bovine viral diarrhea (cattle),bvd,disease specific
mh107,bovine viral diarrhea (cattle),mucosal disease,disease specific
mh107,bovine viral diarrhea (cattle),bovine viral diarrhea,disease specific
mh107,bovine viral diarrhea (cattle),bovine viral diarrhoea,disease specific
ag32,bovine viral diarrhea virus,mucosal disease virus,pathogen
ag32,bovine viral diarrhea virus,bovine viral diarrhoea virus,pathogen
ag299,brachyspira hyodysenteriae,NA,pathogen
ag295,brachyspira pilosicoli,NA,pathogen
ag407,branchiomyces sp.,NA,pathogen
ag269,braula caeca,NA,pathogen
ag414,brooklynella,NA,pathogen
ag12,brucella abortus,NA,pathogen
ag14,brucella melitensis,NA,pathogen
ag214,brucella ovis,NA,pathogen
ag13,brucella suis,NA,pathogen
mh45,brucellosis (cattle),bang disease,disease specific
mh45,brucellosis (cattle),contagious abortion,disease specific
mh45,brucellosis (cattle),brucellosis,disease specific
mh46,brucellosis (equidae),brucellosis,disease specific
mh47,brucellosis (rabbit),brucellosis,disease specific
mh48,"brucellosis (sheep, goat)",bang's disease,disease specific
mh48,"brucellosis (sheep, goat)",brucellosis,disease specific
ma333,bucephalosis,NA,disease group
mh50,bucephalosis (fish),bucephalosis,disease specific
ag408,bucephalus polymorphus,NA,pathogen
ag117,burkholderia mallei,NA,pathogen
ag115,burkholderia pseudomallei,NA,pathogen
ag285,bvx,NA,pathogen
ag286,bvy,NA,pathogen
ag236,calliphora spp.,NA,pathogen
ma358,camallanosis,NA,disease group
mh51,camallanosis (fish),camallanosis,disease specific
ag308,campylobacter coli,NA,pathogen
ag192,campylobacter fetus subsp. fetus,NA,pathogen
ag15,campylobacter fetus subsp. venerealis,NA,pathogen
ag193,campylobacter jejuni subsp. jejuni,NA,pathogen
ag527,campylobacter spp.,NA,pathogen
ma253,campylobacteriosis,NA,disease group
ma152,campylobacteriosis,NA,disease group
mh53,"campylobacteriosis (sheep, goat)",campylobacteriosis abortions,disease specific
mh53,"campylobacteriosis (sheep, goat)",campylobacteriosis,disease specific
mh53,"campylobacteriosis (sheep, goat)",infectious campylobacteriosis,disease specific
mh221,campylobacteriosis (swine),campylobacteriosis,disease specific
ag132,candida albicans,NA,pathogen
ag453,candida spp.,NA,pathogen
ag357,candidatus arthromitus,NA,pathogen
ag716,candidatus clavochlamydia salmonicola,NA,pathogen
ag502,candidatus piscichlamydia salmonis,NA,pathogen
ag493,candidatus xenohaliotis californiensis,NA,pathogen
ma114,candidiasis,NA,disease group
mh515,candidiasis (poultry),candidiasis,disease specific
mh515,candidiasis (poultry),sour crop,disease specific
mh515,candidiasis (poultry),crop mycosis,disease specific
mh515,candidiasis (poultry),thrush,disease specific
mh54,candidiasis (rabbit),candidiasis,disease specific
ag455,capillaria,NA,pathogen
ag512,capillaria contorta,NA,pathogen
ag511,capillaria obsignata,NA,pathogen
ma401,capillariasis,NA,disease group
ma449,capillariasis,NA,disease group
mh518,capillariasis (poultry),capillariasis,disease specific
mh516,capillariasis (poultry),capillariasis,disease specific
ag510,cappillaria caudi inflata,NA,pathogen
ma148,caprine arthritis and encephalitis,NA,disease group
mh127,"caprine arthritis and encephalitis (sheep, goat)",cae(v),disease specific
mh127,"caprine arthritis and encephalitis (sheep, goat)",caprine arthritis and encephalitis,disease specific
ag187,caprine arthritis-encephalitis virus,caev,pathogen
ag446,capsalidae,NA,pathogen
ag483,cardicola spp.,NA,pathogen
ag354,carnobacterium maltaromaticum,NA,pathogen
ma293,carp pox disease,NA,disease group
mh329,carp pox disease (fish),carp pox disease,disease specific
ma182,caseous lymphadenitis of sheep and goats,NA,disease group
mh253,"caseous lymphadenitis of sheep and goats (sheep, goat)",caseous lymphadenitis of sheep and goats,disease specific
mh253,"caseous lymphadenitis of sheep and goats (sheep, goat)",caseous lymphadenitis,disease specific
mh253,"caseous lymphadenitis of sheep and goats (sheep, goat)",pseudotuberculosis of sheep and goats,disease specific
bovin,cattle,NA,NA
cestode,cestode,NA,NA
ma334,cestodosis,NA,disease group
mh57,cestodosis (fish),proteocephalosis of fish,disease specific
mh57,cestodosis (fish),cestodosis,disease specific
ag255,chabertia,NA,pathogen
ma215,chalkbrood,NA,disease group
mh28,chalkbrood (bee),chalkbrood,disease specific
champignon,champignon,NA,NA
champignon_ascomycete,champignon_ascomycete,NA,NA
ma282,channel catfish virus disease,NA,disease group
mh214,channel catfish virus disease (fish),channel catfish virus disease,disease specific
mh214,channel catfish virus disease (fish),ccvd,disease specific
ag164,cheyletiella parasitovorax,NA,pathogen
ag506,chicken anemia virus,cav,pathogen
ma395,chicken anemia virus infection,NA,disease group
mh505,chicken anemia virus infection (poultry),chicken anemia virus infection,disease specific
ag738,chicken arthritis virus,NA,pathogen
ag528,chicken astrovirus,NA,pathogen
ma421,chicken mite,NA,disease group
mh549,chicken mite (poultry),red mite,disease specific
mh549,chicken mite (poultry),roost mite,disease specific
mh549,chicken mite (poultry),poultry mite,disease specific
mh549,chicken mite (poultry),chicken mite,disease specific
ag413,chilodonella brooklynella,NA,pathogen
ma335,chilodonellosis,NA,disease group
mh60,chilodonellosis (fish),chilodonellosis,disease specific
mh61,chlamydia infection (cattle),chlamydophilosis,disease specific
mh61,chlamydia infection (cattle),enzootic abortion,disease specific
mh61,chlamydia infection (cattle),chlamydiosis,disease specific
mh61,chlamydia infection (cattle),chlamydia infection,disease specific
ag18,chlamydophila abortus,NA,pathogen
ag19,chlamydophila percorum,NA,pathogen
ag135,chlamydophila psittaci,NA,pathogen
ma116,chlamydophilosis,NA,disease group
mh62,chlamydophilosis (rabbit),chlamydophilosis,disease specific
ag45,chorioptes bovis,NA,pathogen
ag219,chorioptes ovis,NA,pathogen
ma33,chorioptic mange,NA,disease group
mh185,chorioptic mange (cattle),leg mange,disease specific
mh185,chorioptic mange (cattle),chorioptic mange,disease specific
ma176,chorioptic scab,NA,disease group
mh184,"chorioptic scab (sheep, goat)",chorioptic scab,disease specific
ag280,chronical paralysis virus,chronic bee paralysis virus,pathogen
ag280,chronical paralysis virus,cpv,pathogen
ag280,chronical paralysis virus,cbpv,pathogen
ag364,chryseobacterium spp.,NA,pathogen
cilie,cilie,NA,NA
ag175,cittotaenia denticulata,NA,pathogen
ma264,classical swine fever,NA,disease group
mh350,classical swine fever (swine),swine fever,disease specific
mh350,classical swine fever (swine),hog cholera,disease specific
mh350,classical swine fever (swine),classical swine fever,disease specific
ag321,classical swine fever virus,NA,pathogen
ag482,clinostomum spp.,NA,pathogen
ma403,clostridial disease,NA,disease group
mh521,clostridial disease (poultry),clostridial disease,disease specific
mh521,clostridial disease (poultry),clostridial infection,disease specific
mh190,clostridial myonecrosis (cattle),false blackleg,disease specific
mh190,clostridial myonecrosis (cattle),blackleg,disease specific
mh190,clostridial myonecrosis (cattle),clostridial myonecrosis,disease specific
mh190,clostridial myonecrosis (cattle),gangrene,disease specific
mh190,clostridial myonecrosis (cattle),malignant edema,disease specific
mh190,clostridial myonecrosis (cattle),gas gangrene,disease specific
ag11,clostridium botulinum,NA,pathogen
ag16,clostridium chauvoei,NA,pathogen
ag49,clostridium haemolyticum,NA,pathogen
ag48,clostridium novyi type a,NA,pathogen
ag50,clostridium novyi type b,NA,pathogen
ag36,clostridium perfringens,NA,pathogen
ag708,clostridium perfringens de types b et c,NA,pathogen
ag224,clostridium perfringens type a,NA,pathogen
ag709,clostridium perfringens type a,NA,pathogen
ag710,clostridium perfringens type b,NA,pathogen
ag711,clostridium perfringens type c,NA,pathogen
ag608,clostridium perfringens type d,NA,pathogen
ag154,clostridium piliforme,NA,pathogen
ag17,clostridium septicum,NA,pathogen
ag37,clostridium sordellii,NA,pathogen
ag152,clostridium spiroforme,NA,pathogen
ag520,clostridium spp.,NA,pathogen
ag85,clostridium tetani,NA,pathogen
ma14,coccidiosis,NA,disease group
mh66,coccidiosis (cattle),coccidiosis,disease specific
mh69,coccidiosis (fish),coccidiosis,disease specific
mh67,coccidiosis (goat),coccidiosis,disease specific
mh522,coccidiosis (poultry),coccidiosis,disease specific
mh64,coccidiosis (rabbit),coccidiosis,disease specific
mh64,coccidiosis (rabbit),intestinal coccidiosis,disease specific
mh68,coccidiosis (sheep),coccidiosis,disease specific
ma117,coccidiosis hepatitis,NA,disease group
mh65,coccidiosis hepatitis (rabbit),coccidiosis hepatitis,disease specific
ag234,cochliomyia hominivorax,NA,pathogen
ma153,coenurosis,NA,disease group
ma118,coenurosis,NA,disease group
mh70,coenurosis (rabbit),coenurosis,disease specific
mh55,coenurosis (rabbit),coenurosis,disease specific
mh56,"coenurosis (sheep, goat)",cerebrospinal coenurosis,disease specific
mh56,"coenurosis (sheep, goat)",coenurosis,disease specific
ag194,coenurus cerebralis,cns,pathogen
ag133,coenurus serialis,NA,pathogen
ma234,cold brood,NA,disease group
mh79,cold brood (bee),cold brood,disease specific
ma323,cold water disease,NA,disease group
mh477,cold water disease (fish),hitra disease,disease specific
mh477,cold water disease (fish),cold water disease,disease specific
coleoptere,coleoptere,NA,NA
ma119,colibacillosis,NA,disease group
ma417,colibacillosis,NA,disease group
mh524,colibacillosis (poultry),colibacillosis,disease specific
mh524,colibacillosis (poultry),escherichia infection,disease specific
mh524,colibacillosis (poultry),colisepticemia,disease specific
mh545,colibacillosis (poultry),colibacillosis,disease specific
mh545,colibacillosis (poultry),escherichia infection,disease specific
mh545,colibacillosis (poultry),colisepticemia,disease specific
mh71,colibacillosis (rabbit),colibacillosis,disease specific
mh71,colibacillosis (rabbit),colibacillosis enteritis,disease specific
mh72,"colibacillosis (sheep, goat)",colibacillosis,disease specific
mh72,"colibacillosis (sheep, goat)",escherichia coli enterotoxemia,disease specific
ma233,colony collapse disorder,NA,disease group
mh422,colony collapse disorder (bee),ccd,disease specific
mh422,colony collapse disorder (bee),colony collapse disorder,disease specific
ma300,columnaris disease,NA,disease group
mh73,columnaris disease (fish),columnaris disease,disease specific
ma147,contagious agalactia,NA,disease group
mh12,"contagious agalactia (sheep, goat)",contagious agalactia,disease specific
ma61,contagious bovine pleuropneumonia,NA,disease group
mh343,contagious bovine pleuropneumonia (cattle),contagious bovine pleuropneumonia,disease specific
mh343,contagious bovine pleuropneumonia (cattle),lung plague,disease specific
mh343,contagious bovine pleuropneumonia (cattle),cbpp,disease specific
ma163,contagious ecthyma,NA,disease group
mh119,"contagious ecthyma (sheep, goat)",contagious ecthyma,disease specific
mh119,"contagious ecthyma (sheep, goat)",orf,disease specific
mh119,"contagious ecthyma (sheep, goat)",contagious pustular ovine dermatitis,disease specific
ma195,contagious ovine pleuropneumonia,NA,disease group
mh361,"contagious ovine pleuropneumonia (sheep, goat)",contagious caprine peripneumonia,disease specific
mh361,"contagious ovine pleuropneumonia (sheep, goat)",contagious pleuropneumonia in small ruminants,disease specific
mh361,"contagious ovine pleuropneumonia (sheep, goat)",contagious ovine pleuropneumonia,disease specific
ag460,contracaecum,NA,pathogen
ag254,cooperia spp.,NA,pathogen
ma97,cornage,NA,disease group
mh74,cornage (equidae),laryngeal hemiplegia,disease specific
mh74,cornage (equidae),cornage,disease specific
ma411,coronaviral enteritis of turkeys,NA,disease group
mh536,coronaviral enteritis of turkeys (poultry),bluecomb,disease specific
mh536,coronaviral enteritis of turkeys (poultry),mud fever,disease specific
mh536,coronaviral enteritis of turkeys (poultry),transmissible enteritis,disease specific
mh536,coronaviral enteritis of turkeys (poultry),coronaviral enteritis of turkeys,disease specific
ag761,coronavirus,NA,pathogen
ag227,corynebacterium pseudotuberculosis,NA,pathogen
ag77,corynebacterium renale,NA,pathogen
mh82,"cowdriosis (sheep, goat)",heartwater,disease specific
