table_name,variable_name,variable_name_clean,description,data_type_r,data_type_postgres,allowed_values
disease_unreported,NA,oie_listed,Whether or not the disease is oie-listed. Pre-2014 reports have tables for non-oie-listed diseases,logical,NA,NA
disease_humans,Disease,disease,Disease that can be in humans,character,NA,NA
disease_humans,No information available,no_information_available,T/F no information,character,NA,NA
disease_humans,Disease absent,disease_absent,T/F no disease absent,character,NA,NA
disease_humans,"Disease present
(number of cases unknown",disease_present_number_of_cases_unknown,T/F disease present and number of cases known,character,NA,NA
disease_humans,"Disease present
(number of cases known)",disease_present_number_of_cases_known,T/F disease present and number of cases known,character,NA,NA
disease_humans,Human cases,human_cases,Count human cases,character,NA,NA
disease_humans,Human deaths,human_deaths,Count human deaths,character,NA,NA
animal_population,Species,species,"This matches ""taxa"" not ""species"" from previous tables",character,NA,NA
animal_population,Production,production,Spatial coverage of animal production,character,NA,NA
animal_population,Total,total,Population count,character,NA,NA
animal_population,Units,units,Population count units,character,NA,NA
animal_population,Number,number,Producers count,character,NA,NA
animal_population,Units,units_2,Producers count units,character,NA,NA
veterinarians,NA,veterinarian_class,Veterinarians or Veterinary Paraprofessionals,character,NA,NA
veterinarians,NA,veterinarian_field,Veterinarian field of work,character,NA,NA
veterinarians,Public sector,public_sector,Count of veterinarians in public sector,character,NA,NA
veterinarians,Total,total,Total count of veterinarians,character,NA,NA
veterinarians,Private Sector,private_sector,Count of veterinarians in private sector,character,NA,NA
national_reference_laboratories,Name,name,Name of laboratory,character,NA,NA
national_reference_laboratories,Contacts,contacts,Laboratory contact,character,NA,NA
national_reference_laboratories,Latitude,latitude,Laboratory latitude,character,NA,NA
national_reference_laboratories,Longitude,longitude,Laboratory longitude,character,NA,NA
national_reference_laboratories_detail,Laboratory,laboratory,Name of laboratory,character,NA,NA
national_reference_laboratories_detail,Disease,disease,Disease that can be tested for,character,NA,NA
national_reference_laboratories_detail,Test Type,test_type,Laboratory test,character,NA,NA
vaccine_manufacturers,Manufacturer,manufacturer,Name of vaccine manufacturer,character,NA,NA
vaccine_manufacturers,Contacts,contacts,Contact of vaccine manufacturer,character,NA,NA
vaccine_manufacturers,Year of start of activity,year_of_start_of_activity,NA,character,NA,NA
vaccine_manufacturers,Year of cessation of activity,year_of_cessation_of_activity,NA,character,NA,NA
vaccine_manufacturers_detail,Disease,disease,Disease that vaccination is for,character,NA,NA
vaccine_manufacturers_detail,Manufacturer,manufacturer,Name of vaccine manufacturer,character,NA,NA
vaccine_manufacturers_detail,Vaccine,vaccinne,Name of vaccine,character,NA,NA
vaccine_manufacturers_detail,Vaccine Type,vaccine_type,Type of vaccine,character,NA,NA
vaccine_manufacturers_detail,Year of start of production,year_of_start_of_production,NA,character,NA,NA
vaccine_manufacturers_detail,Year of end of production (if production ended),year_of_end_of_production_if_production_ended,NA,character,NA,NA
vaccine_production,Manufacturer,manufacturer,Name of vaccine manufacturer,character,NA,NA
vaccine_production,Vaccine,vaccine,Name of vaccine,character,NA,NA
vaccine_production,Doses produced,doses_produced,Doses produced,character,NA,NA
vaccine_production,Doses exported,doses_exported,Doses exported,character,NA,NA
